agent_name,inventory,backlog,placed_order,weekly_cost
Wholesaler,83,0,0,183
Retailer,212,0,0,207
Distributor,0,370,200,1350
Wholesaler,183,0,0,283
Retailer,207,0,0,184
Distributor,0,270,200,850
Wholesaler,283,0,0,383
Retailer,184,0,0,158
Distributor,0,170,200,350
Wholesaler,383,0,0,483
Retailer,158,0,0,134
Distributor,0,70,140,30
Wholesaler,483,0,0,753
Retailer,134,0,34,100
Distributor,30,0,0,130
Wholesaler,583,34,0,929
Retailer,100,0,62,69
Distributor,130,0,0,230
Wholesaler,619,62,0,722
Retailer,69,0,33,85
Distributor,230,0,0,330
Wholesaler,557,33,0,539
Retailer,85,0,3,122
Distributor,330,0,0,430
Wholesaler,524,3,0,546
Retailer,122,0,5,125
Distributor,430,0,0,530
Wholesaler,521,5,0,626
Retailer,125,0,22,103
Distributor,530,0,0,630
Wholesaler,516,22,0,1024
Retailer,103,0,106,51
Distributor,630,0,0,730
Wholesaler,494,106,0,823
Retailer,51,0,87,43
Distributor,730,0,0,830
Wholesaler,388,87,0,326
Retailer,43,0,5,122
Distributor,830,0,0,930
Wholesaler,301,5,0,296
Retailer,122,0,0,181
Distributor,930,0,0,1030
Wholesaler,296,0,0,296
Retailer,181,0,0,160
Distributor,1030,0,0,1130
Wholesaler,296,0,0,346
Retailer,160,0,10,125
Distributor,1130,0,0,1142
Wholesaler,296,10,0,381
Retailer,125,0,19,103
Distributor,1142,0,0,1142
Wholesaler,286,19,0,492
Retailer,103,0,45,84
Distributor,1142,0,0,1142
Wholesaler,267,45,0,407
Retailer,84,0,37,83
Distributor,1142,0,0,1142
Wholesaler,222,37,0,335
Retailer,83,0,30,99
Distributor,1142,0,0,1142
Wholesaler,185,30,0,155
Retailer,99,0,0,121
Distributor,1142,0,0,1142
Wholesaler,155,0,0,155
Retailer,121,0,0,130
Distributor,1142,0,0,1142
Wholesaler,155,0,0,235
Retailer,130,0,16,107
Distributor,1142,0,0,1142
Wholesaler,155,16,0,374
Retailer,107,0,47,80
Distributor,1142,0,0,1417
Wholesaler,139,47,55,342
Retailer,80,0,50,73
Distributor,1142,55,0,1627
Wholesaler,92,50,108,102
Retailer,73,0,12,104
Distributor,1087,108,0,1114
Wholesaler,42,12,27,85
Retailer,104,0,0,128
Distributor,979,27,0,952
Wholesaler,85,0,0,223
Retailer,128,0,6,117
Distributor,952,0,0,952
Wholesaler,193,6,0,379
Retailer,117,0,33,92
Distributor,952,0,0,952
Wholesaler,214,33,0,791
Retailer,92,0,122,38
Distributor,952,0,0,1767
Wholesaler,181,122,163,524
Retailer,38,0,93,39
Distributor,952,163,0,1584
Wholesaler,59,93,159,170
Retailer,39,0,0,135
Distributor,789,159,0,655
Wholesaler,0,34,5,129
Retailer,135,0,0,172
Distributor,630,5,0,625
Wholesaler,129,0,0,288
Retailer,172,0,0,172
Distributor,625,0,0,625
Wholesaler,288,0,0,723
Retailer,172,0,86,93
Distributor,625,0,0,625
Wholesaler,293,86,0,422
Retailer,93,0,43,75
Distributor,625,0,0,625
Wholesaler,207,43,0,199
Retailer,75,0,7,127
Distributor,625,0,0,625
Wholesaler,164,7,0,157
Retailer,127,0,0,155
Distributor,625,0,0,625
Wholesaler,157,0,0,157
Retailer,155,0,0,142
Distributor,625,0,0,625
Wholesaler,157,0,0,157
Retailer,142,0,0,122
Distributor,625,0,0,625
Wholesaler,157,0,0,207
Retailer,122,0,10,106
Distributor,625,0,0,625
Wholesaler,157,10,0,337
Retailer,106,0,38,84
Distributor,625,0,0,770
Wholesaler,147,38,29,679
Retailer,84,0,114,40
Distributor,625,29,0,1641
Wholesaler,109,114,209,365
Retailer,40,0,68,55
Distributor,596,209,0,1032
Wholesaler,0,73,129,220
Retailer,55,0,0,137
Distributor,387,129,0,258
Wholesaler,0,44,0,165
Retailer,137,0,0,145
Distributor,258,0,0,258
Wholesaler,165,0,0,294
Retailer,145,0,0,160
Distributor,258,0,0,258
Wholesaler,294,0,0,294
Retailer,160,0,0,135
Distributor,258,0,0,258
Wholesaler,294,0,0,349
Retailer,135,0,11,112
Distributor,258,0,0,258
Wholesaler,294,11,0,573
Retailer,112,0,58,77
Distributor,258,0,0,258
Wholesaler,283,58,0,525
Retailer,77,0,60,64
Distributor,258,0,0,258
Wholesaler,225,60,0,325
Retailer,64,0,32,95
Distributor,258,0,0,258
Wholesaler,165,32,0,133
Retailer,95,0,0,139
Distributor,258,0,0,258
Wholesaler,133,0,0,348
Retailer,139,0,43,114
Distributor,258,0,0,523
Wholesaler,133,43,53,190
Retailer,114,0,20,97
Distributor,258,53,0,455
Wholesaler,90,20,50,90
Retailer,97,0,4,118
Distributor,205,50,0,155
Wholesaler,70,4,0,119
Retailer,118,0,0,120
Distributor,155,0,0,155
Wholesaler,119,0,0,309
Retailer,120,0,28,98
Distributor,155,0,0,155
Wholesaler,169,28,0,311
Retailer,98,0,34,82
Distributor,155,0,0,290
Wholesaler,141,34,27,277
Retailer,82,0,34,88
Distributor,155,27,0,433
Wholesaler,107,34,61,213
Retailer,88,0,28,97
Distributor,128,61,94,347
Wholesaler,73,28,56,117
Retailer,97,0,9,111
Distributor,67,56,145,11
Wholesaler,72,9,0,129
Retailer,111,0,1,119
Distributor,11,0,0,105
Wholesaler,124,1,0,209
Retailer,119,0,6,111
Distributor,105,0,0,205
Wholesaler,179,6,0,273
Retailer,111,0,20,96
Distributor,205,0,0,250
Wholesaler,173,20,0,413
Retailer,96,0,52,75
Distributor,250,0,0,505
Wholesaler,153,52,51,306
Retailer,75,0,41,77
Distributor,250,51,0,604
Wholesaler,101,41,81,175
Retailer,77,0,23,103
Distributor,199,81,63,293
Wholesaler,60,23,35,198
Retailer,103,0,22,111
Distributor,118,35,52,83
Wholesaler,88,22,0,207
Retailer,111,0,12,111
Distributor,83,0,0,146
Wholesaler,147,12,0,645
Retailer,111,0,95,69
Distributor,146,0,0,798
Wholesaler,170,95,120,500
Retailer,69,0,85,48
Distributor,198,120,142,953
Wholesaler,75,85,175,185
Retailer,48,0,27,108
Distributor,78,175,178,755
Wholesaler,0,37,54,83
Retailer,108,0,0,148
Distributor,0,151,200,255
Wholesaler,83,0,0,526
Retailer,148,0,73,106
Distributor,0,51,102,49
Wholesaler,161,73,0,418
Retailer,106,0,46,80
Distributor,49,0,0,149
Wholesaler,188,46,0,278
Retailer,80,0,17,118
Distributor,149,0,0,249
Wholesaler,193,17,0,196
Retailer,118,0,4,130
Distributor,249,0,0,349
Wholesaler,176,4,0,277
Retailer,130,0,21,113
Distributor,349,0,0,449
Wholesaler,172,21,0,326
Retailer,113,0,35,91
Distributor,449,0,0,566
Wholesaler,151,35,19,356
Retailer,91,0,48,82
Distributor,471,19,0,852
Wholesaler,116,48,80,573
Retailer,82,0,101,58
Distributor,452,80,0,1307
Wholesaler,68,101,187,310
Retailer,58,0,48,79
Distributor,372,187,102,905
Wholesaler,0,62,144,18
Retailer,79,0,0,141
Distributor,185,144,203,41
Wholesaler,18,0,0,205
Retailer,141,0,0,170
Distributor,41,0,0,141
Wholesaler,205,0,0,349
Retailer,170,0,0,149
Distributor,141,0,0,241
Wholesaler,349,0,0,394
Retailer,149,0,9,120
Distributor,241,0,0,341
Wholesaler,349,9,0,490
Retailer,120,0,30,95
Distributor,341,0,0,346
Wholesaler,340,30,0,450
Retailer,95,0,28,88
Distributor,346,0,0,346
Wholesaler,310,28,0,472
Retailer,88,0,38,90
Distributor,346,0,0,346
Wholesaler,282,38,0,464
Retailer,90,0,44,87
Distributor,346,0,0,346
Wholesaler,244,44,0,375
Retailer,87,0,35,95
Distributor,100,0,0,100
Wholesaler,100,0,0,630
Retailer,100,0,106,47
Distributor,100,0,0,1100
Wholesaler,100,106,200,605
Retailer,47,0,115,16
Distributor,100,200,200,1000
Wholesaler,0,121,100,775
Retailer,16,0,34,91
Distributor,0,200,100,2000
Wholesaler,0,155,200,520
Retailer,91,0,49,71
Distributor,0,400,200,2000
Wholesaler,0,104,100,520
Retailer,71,0,0,143
Distributor,0,400,200,2500
Wholesaler,0,104,200,20
Retailer,143,0,0,128
Distributor,0,500,200,2040
Wholesaler,0,4,8,96
Retailer,128,0,0,204
Distributor,0,408,200,1540
Wholesaler,96,0,0,196
Retailer,204,0,0,179
Distributor,0,308,200,1040
Wholesaler,196,0,0,296
Retailer,179,0,0,157
Distributor,0,208,200,540
Wholesaler,296,0,0,396
Retailer,157,0,0,135
Distributor,0,108,200,40
Wholesaler,396,0,0,621
Retailer,135,0,25,105
Distributor,0,8,16,92
Wholesaler,496,25,0,726
Retailer,105,0,31,87
Distributor,92,0,0,192
Wholesaler,571,31,0,828
Retailer,87,0,56,78
Distributor,192,0,0,292
Wholesaler,548,56,0,687
Retailer,78,0,39,85
Distributor,292,0,0,392
Wholesaler,492,39,0,528
Retailer,85,0,15,113
Distributor,392,0,0,492
Wholesaler,453,15,0,438
Retailer,113,0,0,135
Distributor,492,0,0,592
Wholesaler,438,0,0,438
Retailer,135,0,0,131
Distributor,592,0,0,692
Wholesaler,438,0,0,473
Retailer,131,0,7,112
Distributor,692,0,0,792
Wholesaler,438,7,0,571
Retailer,112,0,28,92
Distributor,792,0,0,892
Wholesaler,431,28,0,698
Retailer,92,0,59,70
Distributor,892,0,0,992
Wholesaler,403,59,0,574
Retailer,70,0,46,76
Distributor,992,0,0,1008
Wholesaler,344,46,0,333
Retailer,76,0,7,114
Distributor,1008,0,0,1008
Wholesaler,298,7,0,291
Retailer,114,0,0,136
Distributor,1008,0,0,1008
Wholesaler,291,0,0,306
Retailer,136,0,3,120
Distributor,1008,0,0,1008
Wholesaler,291,3,0,388
Retailer,120,0,20,100
Distributor,1008,0,0,1008
Wholesaler,288,20,0,823
Retailer,100,0,111,46
Distributor,1008,0,0,1278
Wholesaler,268,111,54,527
Retailer,46,0,74,46
Distributor,1008,54,0,1409
Wholesaler,157,74,91,83
Retailer,46,0,0,133
Distributor,954,91,0,863
Wholesaler,83,0,0,137
Retailer,133,0,0,188
Distributor,863,0,0,863
Wholesaler,137,0,0,228
Retailer,188,0,0,157
Distributor,863,0,0,863
Wholesaler,228,0,0,228
Retailer,157,0,0,135
Distributor,863,0,0,863
Wholesaler,228,0,0,253
Retailer,135,0,5,115
Distributor,863,0,0,863
Wholesaler,228,5,0,338
Retailer,115,0,23,96
Distributor,863,0,0,863
Wholesaler,223,23,0,395
Retailer,96,0,39,81
Distributor,863,0,0,863
Wholesaler,200,39,0,481
Retailer,81,0,64,70
Distributor,863,0,0,1198
Wholesaler,161,64,67,232
Retailer,70,0,27,91
Distributor,863,67,0,1081
Wholesaler,97,27,57,135
Retailer,91,0,13,121
Distributor,796,57,0,739
Wholesaler,70,13,0,124
Retailer,121,0,0,125
Distributor,739,0,0,739
Wholesaler,124,0,0,231
Retailer,125,0,10,114
Distributor,739,0,0,739
Wholesaler,181,10,0,381
Retailer,114,0,42,86
Distributor,739,0,0,804
Wholesaler,171,42,13,369
Retailer,86,0,48,74
Distributor,739,13,0,1061
Wholesaler,129,48,67,241
Retailer,74,0,32,92
Distributor,726,67,0,1009
Wholesaler,81,32,70,212
Retailer,92,0,30,105
Distributor,659,70,0,744
Wholesaler,62,30,31,164
Retailer,105,0,13,112
Distributor,589,31,0,558
Wholesaler,99,13,0,156
Retailer,112,0,0,126
Distributor,558,0,0,558
Wholesaler,156,0,0,192
Retailer,126,0,1,119
Distributor,558,0,0,558
Wholesaler,187,1,0,301
Retailer,119,0,23,98
Distributor,558,0,0,558
Wholesaler,186,23,0,338
Retailer,98,0,35,82
Distributor,558,0,0,593
Wholesaler,163,35,7,413
Retailer,82,0,57,74
Distributor,558,7,0,981
Wholesaler,128,57,86,356
Retailer,74,0,57,76
Distributor,551,86,0,1145
Wholesaler,71,57,136,21
Retailer,76,0,0,118
Distributor,465,136,0,329
Wholesaler,21,0,0,107
Retailer,118,0,0,150
Distributor,329,0,0,329
Wholesaler,107,0,0,243
Retailer,150,0,0,127
Distributor,329,0,0,329
Wholesaler,243,0,0,348
Retailer,127,0,21,103
Distributor,329,0,0,329
Wholesaler,243,21,0,487
Retailer,103,0,53,75
Distributor,329,0,0,329
Wholesaler,222,53,0,529
Retailer,75,0,72,62
Distributor,329,0,0,704
Wholesaler,169,72,75,662
Retailer,62,0,113,51
Distributor,329,75,0,1239
Wholesaler,97,113,197,195
Retailer,51,0,23,100
Distributor,254,197,240,572
Wholesaler,0,39,103,36
Retailer,100,0,0,171
Distributor,57,103,157,230
Wholesaler,36,0,0,233
Retailer,171,0,0,193
Distributor,0,46,92,54
Wholesaler,233,0,0,290
Retailer,193,0,0,158
Distributor,54,0,0,154
Wholesaler,290,0,0,336
Retailer,158,0,0,138
Distributor,154,0,0,254
Wholesaler,336,0,0,336
Retailer,138,0,0,120
Distributor,254,0,0,354
Wholesaler,336,0,0,416
Retailer,120,0,16,102
Distributor,354,0,0,443
Wholesaler,336,16,0,660
Retailer,102,0,68,67
Distributor,443,0,0,443
Wholesaler,320,68,0,687
Retailer,67,0,87,48
Distributor,443,0,0,553
Wholesaler,252,87,22,325
Retailer,48,0,32,92
Distributor,443,22,0,421
Wholesaler,165,32,0,133
Retailer,92,0,0,159
Distributor,421,0,0,421
Wholesaler,133,0,0,155
Retailer,159,0,0,171
Distributor,421,0,0,421
Wholesaler,155,0,0,155
Retailer,171,0,0,154
Distributor,421,0,0,421
Wholesaler,155,0,0,155
Retailer,154,0,0,130
Distributor,421,0,0,421
Wholesaler,155,0,0,235
Retailer,130,0,16,107
Distributor,421,0,0,421
Wholesaler,155,16,0,294
Retailer,107,0,31,88
Distributor,421,0,0,536
Wholesaler,139,31,23,408
Retailer,88,0,60,72
Distributor,421,23,0,958
Wholesaler,108,60,112,223
Retailer,72,0,35,84
Distributor,398,112,0,781
Wholesaler,48,35,99,126
Retailer,84,0,18,113
Distributor,286,99,12,187
Wholesaler,36,18,0,200
Retailer,113,0,14,117
Distributor,187,0,0,187
Wholesaler,130,14,0,300
Retailer,117,0,17,109
Distributor,187,0,0,199
Wholesaler,215,17,0,403
Retailer,109,0,41,91
Distributor,199,0,0,199
Wholesaler,198,41,0,397
Retailer,91,0,48,80
Distributor,199,0,0,394
Wholesaler,157,48,39,294
Retailer,80,0,37,92
Distributor,199,39,0,485
Wholesaler,109,37,65,192
Retailer,92,0,24,108
Distributor,160,65,70,280
Wholesaler,72,24,37,87
Retailer,108,0,0,128
Distributor,95,37,79,58
Wholesaler,87,0,0,242
Retailer,128,0,18,117
Distributor,58,0,0,128
Wholesaler,152,18,0,436
Retailer,117,0,53,82
Distributor,128,0,0,382
Wholesaler,171,53,35,728
Retailer,82,0,122,39
Distributor,207,35,0,1262
Wholesaler,118,122,218,320
Retailer,39,0,60,66
Distributor,172,218,272,905
Wholesaler,0,64,135,145
Retailer,66,0,0,149
Distributor,0,181,100,905
Wholesaler,0,29,0,143
Retailer,149,0,0,149
Distributor,0,181,200,405
Wholesaler,143,0,0,303
Retailer,149,0,32,123
Distributor,0,81,162,19
Wholesaler,143,32,0,356
Retailer,123,0,29,97
Distributor,19,0,0,119
Wholesaler,211,29,0,298
Retailer,97,0,7,111
Distributor,119,0,0,219
Wholesaler,263,7,0,256
Retailer,111,0,0,124
Distributor,219,0,0,319
Wholesaler,256,0,0,441
Retailer,124,0,37,97
Distributor,319,0,0,419
Wholesaler,256,37,0,564
Retailer,97,0,69,64
Distributor,419,0,0,614
Wholesaler,219,69,19,295
Retailer,64,0,29,86
Distributor,519,19,0,574
Wholesaler,150,29,8,436
Retailer,86,0,63,96
Distributor,534,8,0,956
Wholesaler,121,63,86,212
Retailer,96,0,27,99
Distributor,526,86,0,785
Wholesaler,77,27,69,58
Retailer,99,0,0,133
Distributor,440,69,0,371
Wholesaler,58,0,0,144
Retailer,133,0,0,140
Distributor,100,0,0,100
Wholesaler,100,0,0,430
Retailer,100,0,66,67
Distributor,100,0,0,760
Wholesaler,100,66,132,399
Retailer,67,0,73,47
Distributor,100,132,200,830
Wholesaler,34,73,134,340
Retailer,47,0,29,92
Distributor,0,166,100,1510
Wholesaler,0,68,136,182
Retailer,92,0,30,98
Distributor,0,302,200,1650
Wholesaler,32,30,128,22
Retailer,98,0,4,131
Distributor,0,330,200,1180
Wholesaler,2,4,6,123
Retailer,131,0,5,128
Distributor,0,236,200,680
Wholesaler,98,5,0,343
Retailer,128,0,30,101
Distributor,0,136,200,180
Wholesaler,193,30,0,433
Retailer,101,0,34,86
Distributor,0,36,72,64
Wholesaler,263,34,0,439
Retailer,86,0,22,97
Distributor,64,0,0,164
Wholesaler,329,22,0,458
Retailer,97,0,23,104
Distributor,164,0,0,264
Wholesaler,343,23,0,410
Retailer,104,0,18,104
Distributor,264,0,0,364
Wholesaler,320,18,0,377
Retailer,104,0,15,106
Distributor,364,0,0,464
Wholesaler,302,15,0,367
Retailer,106,0,16,104
Distributor,464,0,0,564
Wholesaler,287,16,0,436
Retailer,104,0,33,93
Distributor,564,0,0,664
Wholesaler,271,33,0,393
Retailer,93,0,31,89
Distributor,664,0,0,736
Wholesaler,238,31,0,347
Retailer,89,0,28,97
Distributor,736,0,0,736
Wholesaler,207,28,0,229
Retailer,97,0,10,109
Distributor,736,0,0,736
Wholesaler,179,10,0,334
Retailer,109,0,33,102
Distributor,736,0,0,736
Wholesaler,169,33,0,266
Retailer,102,0,26,93
Distributor,736,0,0,816
Wholesaler,136,26,16,160
Retailer,93,0,10,108
Distributor,736,16,0,770
Wholesaler,110,10,10,590
Retailer,108,0,98,68
Distributor,720,10,0,1610
Wholesaler,100,98,180,338
Retailer,68,0,64,57
Distributor,710,180,0,1170
Wholesaler,18,64,128,180
Retailer,57,0,0,131
Distributor,530,128,0,402
Wholesaler,0,36,0,144
Retailer,131,0,0,132
Distributor,402,0,0,402
Wholesaler,144,0,0,272
Retailer,132,0,0,135
Distributor,402,0,0,402
Wholesaler,272,0,0,277
Retailer,135,0,1,117
Distributor,402,0,0,402
Wholesaler,272,1,0,456
Retailer,117,0,37,90
Distributor,402,0,0,402
Wholesaler,271,37,0,549
Retailer,90,0,63,64
Distributor,402,0,0,402
Wholesaler,234,63,0,326
Retailer,64,0,31,85
Distributor,402,0,0,402
Wholesaler,171,31,0,140
Retailer,85,0,0,125
Distributor,402,0,0,402
Wholesaler,140,0,0,170
Retailer,125,0,6,125
Distributor,402,0,0,402
Wholesaler,140,6,0,189
Retailer,125,0,11,107
Distributor,402,0,0,402
Wholesaler,134,11,0,208
Retailer,107,0,17,98
Distributor,402,0,0,457
Wholesaler,123,17,11,311
Retailer,98,0,41,84
Distributor,402,11,0,771
Wholesaler,106,41,76,360
Retailer,84,0,59,71
Distributor,391,76,0,1025
Wholesaler,65,59,142,267
Retailer,71,0,50,81
Distributor,315,142,69,708
Wholesaler,17,50,107,343
Retailer,81,0,60,90
Distributor,173,107,141,241
Wholesaler,43,60,35,125
Retailer,90,0,0,125
Distributor,66,35,35,100
Wholesaler,125,0,0,232
Retailer,125,0,0,153
Distributor,100,0,0,200
Wholesaler,232,0,0,302
Retailer,153,0,7,123
Distributor,200,0,0,276
Wholesaler,267,7,0,485
Retailer,123,0,45,89
Distributor,276,0,0,276
Wholesaler,260,45,0,565
Retailer,89,0,70,63
Distributor,276,0,0,401
Wholesaler,215,70,25,255
Retailer,63,0,22,93
Distributor,276,25,0,251
Wholesaler,145,22,0,123
Retailer,93,0,0,138
Distributor,251,0,0,251
Wholesaler,123,0,0,148
Retailer,138,0,0,145
Distributor,251,0,0,251
Wholesaler,148,0,0,533
Retailer,145,0,77,84
Distributor,251,0,0,781
Wholesaler,148,77,106,491
Retailer,84,0,84,50
Distributor,251,106,61,1000
Wholesaler,71,84,171,130
Retailer,50,0,13,107
Distributor,145,171,245,360
Wholesaler,0,26,46,80
Retailer,107,0,0,153
Distributor,0,72,161,55
Wholesaler,80,0,0,225
Retailer,153,0,0,151
Distributor,0,11,22,89
Wholesaler,225,0,0,361
Retailer,151,0,15,118
Distributor,89,0,0,189
Wholesaler,286,15,0,502
Retailer,118,0,44,87
Distributor,189,0,0,289
Wholesaler,282,44,0,548
Retailer,87,0,62,70
Distributor,289,0,0,389
Wholesaler,238,62,0,376
Retailer,70,0,40,87
Distributor,389,0,0,437
Wholesaler,176,40,4,141
Retailer,87,0,1,124
Distributor,417,4,0,413
Wholesaler,136,1,0,135
Retailer,124,0,0,145
Distributor,413,0,0,413
Wholesaler,135,0,0,249
Retailer,145,0,22,112
Distributor,413,0,0,438
Wholesaler,139,22,5,367
Retailer,112,0,50,81
Distributor,413,5,0,823
Wholesaler,117,50,83,292
Retailer,81,0,45,79
Distributor,408,83,0,915
Wholesaler,67,45,118,42
Retailer,79,0,3,113
Distributor,325,118,11,207
Wholesaler,27,3,0,107
Retailer,113,0,0,142
Distributor,207,0,0,207
Wholesaler,107,0,0,250
Retailer,142,0,5,120
Distributor,207,0,0,218
Wholesaler,225,5,0,380
Retailer,120,0,32,94
Distributor,218,0,0,218
Wholesaler,220,32,0,393
Retailer,94,0,41,79
Distributor,218,0,0,218
Wholesaler,188,41,0,342
Retailer,79,0,39,86
Distributor,218,0,0,373
Wholesaler,147,39,31,523
Retailer,86,0,83,72
Distributor,218,31,0,977
Wholesaler,108,83,158,130
Retailer,72,0,21,95
Distributor,187,158,229,459
Wholesaler,25,21,86,35
Retailer,95,0,0,150
Distributor,29,86,129,285
Wholesaler,35,0,0,193
Retailer,150,0,0,153
Distributor,0,57,114,43
Wholesaler,193,0,0,222
Retailer,153,0,0,137
Distributor,43,0,0,143
Wholesaler,222,0,0,394
Retailer,137,0,23,107
Distributor,143,0,0,243
Wholesaler,279,23,0,511
Retailer,107,0,51,78
Distributor,243,0,0,343
Wholesaler,256,51,0,550
Retailer,78,0,69,66
Distributor,343,0,0,580
Wholesaler,205,69,33,261
Retailer,66,0,25,96
Distributor,415,33,0,452
Wholesaler,136,25,14,111
Retailer,96,0,0,150
Distributor,382,14,0,368
Wholesaler,111,0,0,144
Retailer,150,0,0,158
Distributor,368,0,0,368
Wholesaler,144,0,0,158
Retailer,158,0,0,139
Distributor,368,0,0,368
Wholesaler,158,0,0,223
Retailer,139,0,13,113
Distributor,368,0,0,368
Wholesaler,158,13,0,780
Retailer,113,0,127,43
Distributor,368,0,0,1413
Wholesaler,145,127,209,418
Retailer,43,0,80,38
Distributor,368,209,150,749
Wholesaler,18,80,118,485
Retailer,38,0,35,115
Distributor,159,118,177,466
Wholesaler,0,97,85,257
Retailer,115,0,29,102
Distributor,41,85,129,56
Wholesaler,112,29,0,201
Retailer,102,0,0,164
Distributor,56,0,0,156
Wholesaler,201,0,0,286
Retailer,164,0,0,175
Distributor,156,0,0,256
Wholesaler,286,0,0,286
Retailer,175,0,0,150
Distributor,256,0,0,356
Wholesaler,286,0,0,286
Retailer,150,0,0,130
Distributor,356,0,0,412
Wholesaler,286,0,0,326
Retailer,130,0,8,111
Distributor,412,0,0,412
Wholesaler,286,8,0,533
Retailer,111,0,51,80
Distributor,412,0,0,412
Wholesaler,278,51,0,457
Retailer,80,0,46,71
Distributor,412,0,0,412
Wholesaler,227,46,0,341
Retailer,71,0,32,95
Distributor,412,0,0,412
Wholesaler,181,32,0,224
Retailer,95,0,15,113
Distributor,412,0,0,412
Wholesaler,149,15,0,134
Retailer,113,0,0,124
Distributor,412,0,0,412
Wholesaler,134,0,0,159
Retailer,124,0,5,117
Distributor,412,0,0,412
Wholesaler,134,5,0,354
Retailer,117,0,45,86
Distributor,412,0,0,717
Wholesaler,129,45,61,299
Retailer,86,0,43,74
Distributor,412,61,0,861
Wholesaler,84,43,102,136
Retailer,74,0,19,100
Distributor,351,102,0,429
Wholesaler,41,19,36,88
Retailer,100,0,1,121
Distributor,249,36,0,213
Wholesaler,83,1,0,184
Retailer,121,0,0,122
Distributor,213,0,0,213
Wholesaler,184,0,0,425
Retailer,122,0,41,91
Distributor,213,0,0,213
Wholesaler,220,41,0,394
Retailer,91,0,43,74
Distributor,100,0,0,100
Wholesaler,100,0,0,300
Retailer,100,0,40,80
Distributor,100,0,0,500
Wholesaler,100,40,80,350
Retailer,80,0,58,61
Distributor,100,80,160,800
Wholesaler,60,58,156,247
Retailer,61,0,49,76
Distributor,20,156,120,1260
Wholesaler,2,49,116,63
Retailer,76,0,6,114
Distributor,0,252,200,1055
Wholesaler,33,6,59,47
Retailer,114,0,0,135
Distributor,0,211,200,555
Wholesaler,47,0,0,162
Retailer,135,0,3,119
Distributor,0,111,200,55
Wholesaler,147,3,0,489
Retailer,119,0,49,85
Distributor,0,11,22,89
Wholesaler,244,49,0,705
Retailer,85,0,82,53
Distributor,89,0,0,189
Wholesaler,295,82,0,484
Retailer,53,0,52,75
Distributor,189,0,0,289
Wholesaler,224,52,0,197
Retailer,75,0,5,126
Distributor,289,0,0,389
Wholesaler,172,5,0,167
Retailer,126,0,0,146
Distributor,389,0,0,489
Wholesaler,167,0,0,167
Retailer,146,0,0,133
Distributor,489,0,0,589
Wholesaler,167,0,0,762
Retailer,133,0,119,57
Distributor,589,0,0,1446
Wholesaler,167,119,171,473
Retailer,57,0,85,36
Distributor,591,171,0,1160
Wholesaler,48,85,148,185
Retailer,36,0,0,140
Distributor,420,148,0,287
Wholesaler,0,37,3,134
Retailer,140,0,0,154
Distributor,272,3,0,269
Wholesaler,134,0,0,282
Retailer,154,0,0,164
Distributor,269,0,0,269
Wholesaler,282,0,0,285
Retailer,164,0,0,143
Distributor,269,0,0,269
Wholesaler,285,0,0,410
Retailer,143,0,25,109
Distributor,269,0,0,269
Wholesaler,285,25,0,375
Retailer,109,0,23,93
Distributor,269,0,0,269
Wholesaler,260,23,0,317
Retailer,93,0,16,101
Distributor,269,0,0,269
Wholesaler,237,16,0,401
Retailer,101,0,36,94
Distributor,269,0,0,269
Wholesaler,221,36,0,415
Retailer,94,0,46,82
Distributor,269,0,0,304
Wholesaler,185,46,7,209
Retailer,82,0,14,102
Distributor,269,7,0,262
Wholesaler,139,14,0,125
Retailer,102,0,0,130
Distributor,262,0,0,262
Wholesaler,125,0,0,172
Retailer,130,0,8,118
Distributor,262,0,0,262
Wholesaler,132,8,0,324
Retailer,118,0,40,89
Distributor,262,0,0,542
Wholesaler,124,40,56,319
Retailer,89,0,47,75
Distributor,262,56,0,756
Wholesaler,84,47,110,202
Retailer,75,0,33,91
Distributor,206,110,114,461
Wholesaler,37,33,73,60
Retailer,91,0,0,120
Distributor,96,73,150,23
Wholesaler,60,0,0,170
Retailer,120,0,0,133
Distributor,23,0,0,123
Wholesaler,170,0,0,368
Retailer,133,0,25,104
Distributor,123,0,0,223
Wholesaler,243,25,0,518
Retailer,104,0,60,72
Distributor,223,0,0,297
Wholesaler,218,60,2,373
Retailer,72,0,43,77
Distributor,287,2,0,425
Wholesaler,158,43,28,220
Retailer,77,0,21,108
Distributor,285,28,0,382
Wholesaler,115,21,25,161
Retailer,108,0,13,119
Distributor,257,25,0,242
Wholesaler,96,13,2,111
Retailer,119,0,0,124
Distributor,232,2,0,230
Wholesaler,111,0,0,151
Retailer,124,0,3,117
Distributor,230,0,0,230
Wholesaler,136,3,0,390
Retailer,117,0,51,83
Distributor,230,0,0,565
Wholesaler,135,51,67,474
Retailer,83,0,78,54
Distributor,230,67,4,1023
Wholesaler,84,78,172,171
Retailer,54,0,33,86
Distributor,163,172,263,510
Wholesaler,6,33,93,40
Retailer,86,0,0,148
Distributor,0,102,104,490
Wholesaler,40,0,0,203
Retailer,148,0,0,164
Distributor,0,98,196,2
Wholesaler,203,0,0,207
Retailer,164,0,0,148
Distributor,2,0,0,102
Wholesaler,207,0,0,305
Retailer,148,0,0,126
Distributor,102,0,0,202
Wholesaler,305,0,0,435
Retailer,126,0,26,100
Distributor,202,0,0,302
Wholesaler,305,26,0,469
Retailer,100,0,38,81
Distributor,302,0,0,402
